,trek_name,region,no_of_days,difficulty,distance,altitude,price,SD,description,Activity Name,Typical Season,Grade Classification
32,Annapurna Circuit Trek with Tilicho Lake,Nepal,15,5,145 KM,5418 mts.,54000,Kathmandu to Pokhara,"
Brief Description 

                        The Annapurna Circuit is a classic trail that goes around the massive Annapurna group through subtropical forest, vast meadows, high alpine territory and glacial lakes. Our variation of the standard AC trail avoids the crowds of the lower trail, and adds a visit to the gigantic Tilicho Lake which is considered as the world's highest alpine lake at an altitude of 4920 M. The trek deviates from the standard and more crowded Annapurna Base Camp trek and gives you a variety of scenery while crossing mighty passes and glacial lakes. Due to the trek's maximum altitude of 5420 M and a longer duration of walk through rough terrain, it demands good physical fitness. This circuit trek can be done throughout the year except for the monsoon months when Nepal receives high amount of rainfall and in the winter months of December and January when Thorung La pass will be shut due to heavy snowfall. Spring and Autumn seasons are usually the best time to undertake the Annapurna Circuit Trek. Stay on this page for more information on the Annapurna Circuit Trek.
                    
",Annapurna Circuit Trek,"Mar,Apr,May,Jun,Sep,Oct,Nov,Dec",Difficult
33,Annapurna Base Camp Trek,Nepal,9,4,85 KM,4130 mts.,25500,Pokhara to Pokhara,"
Brief Description 

                        Annapurna Base Camp trek is one of the most popular treks in Nepal. The Annapurna Base Camp trek is popularly known as the ABC trek. Given its international fame, the trek attracts many trekkers from all over the globe. Over a period of 6 trekking days, you gain the maximum altitude of 13,549 ft. The trail of the Annapurna Base Camp trek is breathtakingly beautiful. As you hike through the Annapurna Sanctuary, you come across the most striking flora and fauna. The grand view of the Annapurna Massif from the base camp almost takes your breath away. Views of the Hiunchuli, Machapuchare and, Annapurna South are a treat for the sore eyes. 
ABC is a moderate level trek. With the right experience, skill set and training you can attempt this trek and enjoy the beauty of the Himalayas in Nepal. The trek also gives you a chance to catch a glimpse of Nepali culture and hospitality. Scroll down for more information like Annapurna Base Camp trek blogs, weather details, route maps, itineraries and photos. Head to our FAQ section for the detailed packing list specific to Nepal treks.
                    
",Annapurna Base Camp Trek,"Mar,Apr,May,Jun,Sep,Oct,Nov,Dec",Moderate
34,Satopanth Lake Trek,Uttarakhand,8,4,43 KM,4350 mts.,18700,Joshimath to joshimath,"
Brief Description 

                        Satopanth Lake is a holy lake near the base of the 7138 m Chaukhamba massif. The trek to Satopanth lake starts from Mana - the last village near the Indo-China border in Uttarakhand, near the pilgrimage town of Badrinath. From Mana, you follow the Alaknanda river to its snout at Alkapuri and walk next to the glacier to reach the undulating meadows and Laxmiban and Chakrateerth before reaching the lake. The maximum altitude you gain during Satopanth lake trek is 4350 m. With its crystal clear green water, the triangular lake has a perimeter of one kilometer. On its three corners meditated the holy trio - Brahma, Vishnu, and Mahesh and still do, it is believed - the creator, the preserver and the destroyer charting out the course of the world. Satopanth Tal Lake Trek in Uttarakhand is an isolated trek in Garhwal Himalayas nestled on the base of legendary Nilkantha peak and several other prominent peaks in proximity. The route offers splendid views of Chaukhamba, Nilkantha, Balakun, Kamet and Abi Gamin. The best time to do Satopanth lake trek is May - June, and September - October. On this page, you will find all essential information lake Satopanth Lake Trek route map, Temperature and Weather details, Photos, Videos, and Blog Posts.
                    
",Satopanth Lake Trek,"May,Jun,Sep,Oct",Moderate
35,Baraadsar Lake Trek,Uttarakhand,8,5,43 KM,4600 mts.,16400,Sankri to Bhitri,"
Brief Description 

                        The Baraadsar Lake is a sacred lake that lies on the border of Uttarakhand and Himachal Pradesh tucked between the Rupin and Supin valleys in the Western Garhwal Himalayas. The trail to Baradsaar Lake takes you through picturesque meadows, brown oak and pine forests, massive clearings with breathtaking mountain views, and finally over a ridge that separates the Rupin and Supin valleys with excellent panoramic views. Tucked away inside a massive cauldron, this bowl-shaped high altitude Baraadsar Lake has high ridges converging from all sides making it one of the least explored treks in the area. The ultimate thrill is a rewarding summit push to reach the lake which makes it a unique trek. This trek is meant for trekkers with previous trekking experience. This moderate level trek involves a good fitness level due to a series of ascents. Trek this offbeat trail to enjoy unimaginable vistas and stunning sceneries. Pre-monsoon months of mid-May and June and the post-monsoon months of September and October is the best time to do this trek. Stay on this page for more information on the Baraadsar Lake Trek - Itinerary, Photos, Reviews, FAQs, and more.
                    
",Baraadsar Lake Trek,"May,Sep",Difficult
36,Dev Kyara Trek,Uttarakhand,7,3,36 KM,4100 mts.,13700,Sankri to Sankri,"
Brief Description 

                        Dev Kyara is a high altitude meadow located in the Sankri range of Uttarakhand. Located parallel to the Har ki Dun Valley, Dev Kyara Trek takes you to the massive 4 km wide meadow of Dev Kyara at an altitude of 4100M nestled between the Rupin and Supin Valleys. Being an easy trek, the Dev Kyara Trek gives trekkers a chance to explore one of the most untouched and pristine trails in the Western Garhwal Himalayas with awe-inspiring views of Ranglana, Daowdu, Black Peak, Bandarpoonch, Kedar Dome and Swargarohini. This trek allows you to explore two pristine areas of the Garhwal Himalayas, namely the Obra Gad Valley and the Dev Kyara Bugyal while giving you glimpses of traditional Himalayan villages rich in culture. Taking you on a trail alongside the roaring Dibra Gad river, a tributary of Supin river, through dense pine and oak forests, the valley opens to mesmerizing views of the surrounding vistas with the trail laded with colorful flowers, wild mushrooms and wild strawberries. Camping at the Dev Kyara meadow at the foot of the majestic Rangnala Peak with delicious views of Daowdu, and several other unnamed peaks is a treat for trekkers. Considered as a good alternative to the relatively easier Har ki Dun, this trek must be in the bucket list of those who intend to explore something not tainted by crowds. This trek can be done in the pre-monsoon months of mid-May to June and the post-monsoon months from September to November, however, the monsoon months of July and August must be avoided. Stay on this page for more information on the Dev Kyara Trek - Itinerary, Route, Temperature and Precipitation charts, FAQs, and reviews.
                    
",Dev Kyara Trek,"May,Sep",Easy
37,Phulara Ridge Trek,Uttarakhand,6,2,30 KM,3710 mts.,9450,Sankri to Sankri,"
Brief Description 

                        The Phulara Ridge Trek is a stunning trek in the Sankri range of Uttarakhand. The trek displays some of the most glorious sights in the Himalayas with a spectacular ridge walk almost throughout the trek. The panoramic views you get because of the ridge walk is awe-inspiring and makes you wanting for more and more. The eye-catching meadows of Pushtara are one of the many highlights of this trek. The trek is ideal for both beginners and experienced trekkers alike who wish to explore the unmatched beauty of the Sankri range and also enjoy a trek that stands out from all others. The best time for the trek are April - June and September to December. Stay on this page for more information of the Phulara Ridge trek.
                    
",Phulara Ridge Trek,"May,Jun,Sep,Oct",Easy
38,Mukta Top Trek,Uttarakhand,6,2,28 KM,3603 mts.,9600,Kuflon to Kuflon,"
Brief Description 

                        The Mukta Top trek is an excellent winter trek located near Uttarkashi of Uttarakhand. With a maximum altitude of 11,800 ft, the Mukta Top trek is a stunningly isolated trail taking you through lovely meadows, diverse wildlife, staggering mountain views and a thrilling summit thus giving a healthy competition to its peers like the Kedarkantha, Brahmatal, and Dayara Bugyal treks. Perfectly suited for both beginners and experienced trekkers, the Mukta Top trek is the best offbeat trek in the Winters as the landscape is covered with a thick blanket of snow making it all the more mesmerizing. The summit gives you a panoramic view of the  mighty peaks of Bandarpunch, Gangotri, Jaonli, Kalanag and Nag Tibba. The best time to do the Mukta Top trek is from January to June. Stay on this page for more information on the Mukta Top trek - Itinerary, FAQs, Reviews, etc.
                    
",Mukta Top Trek,Dec,Easy
39,Kalindi Khal Expedition,Uttarakhand,15,6,99 KM,5940 mts.,120000,Gangotri to Badrinath,"
Brief Description 

                        Kalindi Khal Trek is an extremely challenging expedition-style traverse of the Kalindi Khal Pass in spectacular Garhwal Himalayas connecting Gangotri and Badrinath. The route involves a trek over rough glaciers, rocky screens, and crevassed snowfields. At times we need to rope up and require the use of ice axes and crampons. Kalindi Khal trek takes you halfway round Garhwal from the Bhagirathi Valley to the Alaknanda Valley. The journey en route Kalindi Khal unfolds views of some of the highest and most majestic peaks of the Indian Himalayan range - Shivling at 6,543 m, Meru at 6,630 m, Kedar Dome at 6,808 m, Bhagirathi group at 6,856 m, Nilkantha at 6,506 m, Chandra Parvat at 6,728 m, Avalanche Peak at 6,413 m, Kamet at 7,756 m Mana at 7,272 m and Abi Gamin at 7,355 m. Although prior climbing experience is not required, this trip is one of our most demanding treks suited to only those who want to join a reconnaissance style expedition.
Additional note for Foreign Nationals - Due to ILP (Inner Line Permit) requirements, we need a minimum of 4 foreign nationals in the group. In case you are booking for yourself as an individual or in a group smaller than 4 and you are not Indian nationals, please consider the risk of batch cancellation in the event of less than 4 foreign nationals in the batch. We will wait till 2 months prior to departure and if we do not have a minimum of 4 foreign nationals’ booking in the group, we will cancel and issue refunds for all foreign nationals’ bookings. This does not apply to any Indian nationals.
                    
",Kalindi Khal Trek,"Jun,Sep,Oct",Difficult
40,Borasu Pass Trek,Uttarakhand,9,5,63 KM,5360 mts.,29200,Sankri to Chitkul,"
Brief Description 

Located along the border with Tibet, the Borasu Pass trek is a virgin trail which presents some of the best views of the historical Swargarohini peak. As a new trail in our portfolio, what we are most excited about is that it is one of the lesser explored trails in the region connecting two very distinct valleys of two geographically rich states. Borasu Pass trek starts from the small village of Sankri in Uttarakhand and ends at the gorgeous hamlet, Chitkul, tucked away in the many folds of the mountains in Himachal Pradesh. The trail for this high mountain pass takes you through the infamous Har ki Dun Valley. With an abundance of fauna housed by colourful birds and surrounded by splendid peaks, Har ki Dun is one of the most beautiful all-season treks in the Himalayas. The Borasu Pass trek gives you the opportunity to continue on this exquisite trail onto a lesser explored route to the pass which connects Tons Valley in Uttarakhand with Baspa Valley in Himachal Pradesh. It being an extension of one of the most beautiful trails, is only one of half a dozen reasons you should consider this trek as your next adventure! 
This ancient trade route between Uttarakhand and Himachal offers you a variety of landscapes that are sure to leave you awestruck. Passing through small mountain habitations of Taluka, Gangaad, Dhatmir, Seema and Osla, the trek takes you through dense forests rife with chestnut, walnut, willows and chinar trees. It passes through an assortment of landscapes such as terraced mountain fields, massive patches of tall grass and thick coniferous forests. Our favourite part about this high-altitude pass, which lies barely explored at an elevation of 5,200M; is that it provides for the best views but will make you sweat for them! 
A stunning mix of green meadows and vast fields of snow, packed with jumpy rivers and solemn glaciers, Borasu Pass is an easy trek made extremely difficult by its treacherous terrain. As we were walking the trail, the one thing that struck us was that this trek is a complete 360-degree ride. Starting from greens leading into browns spilling into whites it takes a turn-around after the pass, to go from whites to browns to eventually reach the lush green valley by the Baspa river into Chitkul in the Kinnaur district of Himachal Pradesh.
It is a difficult climb, however. The long distances between camps, steep narrow ridges and its heavily bouldered terrain with patches of glaciers full of open and hidden crevasses, all lend to making it a strenuous affair. Its steep ascends and descends and the high altitude can get technical and hence we believe that the trail demands prior experience in the Himalayas along with some specific skills.
From our explorations, the best months to undertake Borasu Pass Trek are May, June, September and October. Stay on this page for more information on the Borasu Pass Trek.

",Borasu Pass Trek,"May,Jun,Sep,Oct",Difficult
41,Patalsu Peak Trek,Himachal Pradesh,4,2,17 KM,4200 mts.,10300,Manali to Manali,"
Brief Description 

                        Patalsu Peak at 4200m (13,800 ft) is a moderately easy summit near Manali. The trail starts from Solang village, climbing through meadows and pine, deodar and oak forests inhabited by Monals and Pheasants among other fauna for two days to the summit. The campsites offer panoramic views of the entire Kullu valley and Hanuman Tibba, Friendship Peak, and Manali Peak. From the Patalsu summit, you can see a sea of snow covered mountains towering over the Kullu valley, and excellent views into Lahaul and Spiti. Along with traditional Kullu hospitality and signature Manali forests, the Patalsu trail offers amazing views of the Beas Kund peaks including Hanuman Tibba, to round up a perfect beginners summit! Stay on this page for more details - like Patalsu Peak trek route map, itinerary, temperature and weather info, photos and videos.
                    
",Patalsu Peak Trek,"May,Jun,Sep,Oct",Easy
42,Hampta Pass Trek,Himachal Pradesh,5,4,35 KM,4200 mts.,9700,Manali to Manali ,"
Brief Description 

                        Hampta Pass trek is one of the most awe-inspiring treks in the Kullu region of Himachal Pradesh. The Hampta Pass offers breathtaking views of the two different sides of the Himalayas. On one side of the pass lies the lush green Kullu valley and on the other side is the stark opposite dessert valley of Lahaul. One of the major highlights of the trek is the visit to high altitude Chandratal lake in Spiti. The trek is of moderate difficulty level and is preferred by both beginners as well as experienced trekkers. The maximum altitude attained gained during Hampta pass trek is 4200 m and total trek distance is 35 km. While returning from the trek, the drive is over the famous Rohtang Pass. This adds to the list of attractions of this trek. Hampta Pass Trek best time is from June to October.
Stay on this page for more info - Hampta Pass Trek Route Map, Itinerary, Temperature Chart, Photos, Videos, and Reviews. Scroll to the end to read some amazing Hampta Pass Trek Blog.
                    
",Hampta Pass Trek,"Jun,Jul,Aug,Sep,Oct",Moderate
43,Vasuki Tal Trek,Uttarakhand,9,5,63 KM,4880 mts.,29900,Gangotri to Gangotri,"
Brief Description 

                        Vasuki Tal via Tapovan is a trek with unique visuals where you walk over glaciers for miles & camp at the foot of towering Himalayan peaks like Mount Shivling. The trek has the highest altitude of 4800 M at Vasuki Tal and is graded as moderate to challenging. The trek involves crossing many glaciers and boulders and that makes this trek really thrilling and different from other treks. En route you get stunning views of peaks that pose a challenge to mountaineers such as Shivling, Thalay Sagar, Meru, and Bhagirathi I, II, III. The trail of Vasuki Tal Trek goes through Gaumukh - the source of mighty river Ganga and Tapovan - the gorgeous alpine meadow of religious significance for Hindus. Since this trek is still less explored, it gives the trekkers a unique chance of experiencing nature at its best. In order to Vasuki Tal Trek, you must have some prior experience of trekking in the Himalayas. The best time to do Tapovan and Vasuki Tal is May - June, and September - October. On this page, we have covered everything you need to know - Vasuki Tal Trek route map, itinerary, temperature and altitude charts, photos, and reviews. 

                    
",Vasuki Tal Meru Glacier Trek,"May,Jun,Sep,Oct",Difficult
44,Goechala Trek,Sikkim,10,5,61 KM,4600 mts.,17900,Yuksom to Yuksom,"
Brief Description 

Burrowed deep within the leafy jungles of the Kanchenjunga National Park, the coveted Goechala trek takes one disarmingly close to the third highest mountain range in the world.
Getting close to the legendary Mt. Kanchenjunga is not the only reason this trek remains a favourite amongst both trekkers and trek leaders alike. What fascinates us most about this trek is how up-close and life size some of the celebrated peaks of the Himalayas appear on this trail. For example, on the fifth day of the trek, we will be camping right at the foot of Mt. Pandim. By the time we get to the summit day, the peak of Mt. Pandim appears deceptively near, as if it is only a day’s hike away!
Topping the thrill of being in the vicinity of such gigantic peaks is the fierce alpenglow one gets to witness on the trail. Watching these otherwise unyielding peaks, especially Mt. Kanchenjunga, melt into molten gold right in front of you, under the early morning rays of the sun is an experience that remains etched in the back of your head for a lifetime.
Long suspension bridges running in the midst of dense jungles, a tranquil monastery at 3000 M, and a serene mirror like lake that sits right below the summit point are some of the other joys of the Goechala Trek. Read more about the attractions of the Goechala Trek here.
Climbing up to an altitude of 4600 M, the Goechala trek is as challenging as is beautiful. Read more about the difficulty level of the trek, the challenges one encounters on the trail and the skillset one requires to traverse the untrammelled terrain of Goechala effortlessly here.

",Goecha la Trek,"Mar,Apr,Oct,Nov,Dec",Difficult
45,Gangotri III Peak,Uttarakhand,15,7,32 KM,6577 mts.,120000,Gangotri to Gangotri,"
Brief Description 

                        Nestled deep in Gangotri National Park, Gangotri III at an impressive altitude of 6,577M stands tall amongst its two sister peaks Gangotri I (6672M) and Gangotri II (6590M). Rising from the Rudugaira Bamak Glacier, Gangotri III is bound by Mt. Rudragaira to its right and the mighty Auden's Col Pass to the left in the Garhwal range of Himalayas. For its altitude, expedition style climbing using mountaineering equipment, and awe-inspiring views of famed peaks in the range, Gangotri III offers some of the best mountaineering experiences. 
A stepping stone for some and for some a challenge in and of itself, the mountain is a thing of beauty and does its share in lending you a dream. It is a challenging endeavor taken on by climbers looking to get a taste of high-altitude climbing and for those preparing for 7000+M peaks in the Himalayas. 
A climb up Gangotri III includes having to traverse miles of rocky moraines, navigating the mighty Gangotri glacier, walking across crevassed snowfields and an arduous climb up the summit with sections of vertical ice fall in the thinning high-altitude air coupled with violent winds. Since it is a technical climb which requires specific knowledge of mountaineering equipment and a specific set of skills to survive at that altitude in that terrain, this is an expedition reserved for experienced climbers only. Mountaineering certification or alternatively experience in high-altitude mountaineering and extreme temperature is a mandate to undertake this challenging expedition.
Stay on this page for information on Gangotri III expedition - Itinerary, Routes, FAQs, and eligibility criteria.

                    
",Mt. Gangotri III Peak,"May,Sep",Pro
46,Auden's Col  Expedition,Uttrakhand,16,6,75 KM,5490 mts.,120000,Gangotri to Kedarnath,"
Brief Description 

                        Auden’s Col is the holy grail of trekking in the Western Himalayas - hailed by many as being more difficult than Kalindi Khal, which is one of the most dangerous treks in India. As a mountain pass hanging at the impressive altitude of 5,490M, this impossibly high, glaciated pass between the ginormous Gangotri and Jogin massifs is the climax of a long, treacherous journey between the pilgrimage towns of Gangotri and Kedarnath.
Starting from the high mountain town of Gangotri, which is possibly one of the best trailheads in the country, the trek takes you high in the Garhwal Himalayas in the massive Gangotri glacial region. The mighty Bhagirathi flows loud and proud, from its glacial source at the foot of Chaukhamba, down through vast meadows and dense deodar forests. Auden’s Col is by no means a monotonous landscape. You climb through dense birch and oak forests on the first day, onto vast, unending meadows with panoramic views of the Gangotri and Jogin peaks. You leave the meadows for harsh, alpine terrain - over moraine fields with hidden lakes, onto steep snow slopes for the final pass climb. Once you climb the pass, you walk through one of the most heavily glaciated regions in India - the crevassed Khatling glacier. Then back onto moraine and through dense forests once again before visiting the holy Vasuki Tal lake and the snow-covered Mayali Pass.
The first crossing of Auden’s Col, through this beautiful trail which links the Khatling and Rudra valleys was made by J.B. Auden, a British surveyor, in the year 1939 with the next recorded passing of the col, a long 44 years after. With everything that’s challenging and awesome about Auden’s Col - the glaciated approach, the lush and beautiful lower valleys, the unending moraine, and the magnificent views, the pass remains one of the least explored in the country even today. 
On the one hand, the trek is an easy pick for its scanty crowds and a perfect assortment of beautiful landscapes along with unmatched views of revered peaks in the range. But on the other hand, it is feared to be a hostile trail where the dangers encountered outweigh the scenic beauty of the terrain. For the distance covered and altitude gained each day, there are no ‘easy’ days here. The trek requires immense patience, and doesn’t forgive those who don’t acclimatize well. 
That being said, this trek brimming with raw beauty and laborious challenges, is perfect for seasoned trekkers looking to step up their trekking game in the Himalayas. 
Stay on this page for more details about Auden's Col Trek.

                    
",Auden's Col Trek,"Jun,Sep",Difficult
47,Tawang Bum La Cycling Expedition,Arunachal Pradesh,11,5,350 KM,4630 mts.,55000,Guwahati to Guwahati,"
Brief Description 

                        The Guwahati - Tawang - Bum La Cycling Expedition begins from Bhalukpong on the Assam - Arunachal border and takes you through a tour of the western regions of Arunachal Pradesh. The first few days consist of gradual altitude gain through lush tropical and alpine forests along the Kameng river, a major tributary of the Brahmaputra. 
After crossing three passes - Nechiphu, Bomdila and the icy and treacherous Se La at 4200 m, you enter the Tawang region, home to the nomadic Monpa tribes with their unique culture and one of the richest biodiversity hotspots in India, populated with red pandas and snow leopards. From Tawang, we ride towards the Indo - China border on icy dirt roads passing dozens of alpine lakes to Bum La at 4600 m.
This route also loosely follows the route taken by the Dalai Lama on his escape to India from Tibet and is also the site of the 1962 Sino - Indian war. With its blend of history, culture and a landscape that changes from tropical forests to harsh alpine terrain, this is the perfect way to explore the Western Arunachal region.
                    
",Tawang Bum La Cycling,"Mar,Apr,Sep,Oct",Difficult
48,Jagatsukh Peak Trek,Himachal Pradesh,8,6,0 KM,5050 mts.,34950,Manali to Manali,"
Brief Description 

                        Jagatsukh Peak at 5050 M near Manali is the perfect peak for experienced trekkers looking to for a challenge. Serving as a great alternative to Stok Kangri, the Jagatsukh Peak expedition lets you traverse glaciers and crevasses. This is a less popular option among beginner climbers but a great opportunity to learn front pointing and ice climbing techniques. Located in the Deo Tibba range of Manali, the Jagatsukh Peak expedition shares its base camp with the ever so challenging Deo Tibba expedition. The summit provides you thrilling views of Deo Tibba, Indrasan, Mt. Norbulinga, and others. In spite of being the ideal first expedition for beginners, this trek demands a good fitness level and prior knowledge of mountaineering techniques. The best months to do the Jagatsukh Peak expedition is in the pre-monsoon months of May and June followed by the post-monsoon months of September and October. Stay on this page for more information on the Jagatsukh Peak Expedition.
                    
",Jagatsukh Peak Trek,"May,Jun,Sep,Oct",Difficult
49,Mt. Deo Tibba Expedition,Himachal Pradesh,15,7,42 KM,6001 mts.,65000,Manali to Manali,"
Brief Description 

                        Mt. Deo Tibba at 6001 M is the second highest peak of the Pir Panjal range in the Kullu valley, lying to the southeast of Manali above Jagatsukh village. As per local beliefs, Deo Tibba is the assembly site of the gods and the 'Devtas' are believed to sit on this peak. Although it qualifies as a serious mountaineering expedition with a huge ice cap on its summit, it has a relatively easy approach and logistics. Being just over 6000 M, Mt. Deo Tibba has an extensive ice cap at the peak but the actual summit happens over a snow hump located at the edge of the ice plateau. This expedition involves crossing over an icy pass, towards a glacier with a rocky moraine at a steep slope of about 55 degrees which requires fixed ropes to traverse this obstacle safely. Due to its challenging terrain and expedition style trekking, Mt. Deo Tibba expedition is meant for experienced trekkers with prior knowledge of mountaineering techniques such as the use of ice axes, crampons and roping up procedures. This expedition is perfect for any aspiring mountaineer intending to train for 6000M+ peaks in the Indian Himalayas.  Stay on this page for everything you need to know about the Mt. Deo Tibba expedition including route map, itinerary, temperature chart, photos, videos, and reviews.
                    
",Mt. Deo Tibba Peak,"May,Jun,Sep",Pro
50,Snow Leopard Trek - Spiti,Himachal,9,4,0 KM,4400 mts.,39000,Shimla to Shimla,"
Brief Description 

                        Snow Leopard - the elusive big cat is best seen in the mountains of Spiti in the winter months of December to March when the valley is painted white with snow-clad landscapes and stunning visuals. This unique itinerary curated specifically for you will give you a once in a lifetime opportunity to track and spot a snow leopard in its natural habitat with the help of local guides and experienced trackers. Explore the harsh yet stunningly gorgeous winter settings on the Spiti valley in search of the most exotic wildlife that call this beautiful place their home. This trek is best done between the months of January to March. Even though this doesn't involve a lot of trekking it is recommended to have good physical fitness and mental endurance to brave the brutal conditions of Spiti winters. Stay on this page for more information on the Spiti Snow Leopard Trek.
                    
",Snow Leopard Trek - Spiti,"Jan,Feb,Dec",Moderate
51,Basic Skiing Course - Gulmarg,Kashmir,10,4,0 KM,3780 mts.,31000,Gulmarg to Gulmarg (Without Stay & Meals),"
Brief Description 

                        A world without friction - skiing, one of the most graceful sports on the planet right now. If you want to test your limits or if it's adrenaline rush you are seeking, it’s the sport to pursue. Gulmarg has quickly become a popular destination for skiers and snowboarders around the world - from absolute beginners to experts - you'll find them all here in winter. Nestled amongst the beautiful mountains of Kashmir, Gulmarg boasts of one of the highest ski lifts in the world and the best slopes in the country. Have you ever pictured yourself speeding down vast snow slopes with the gigantic Himalayan mountains in the backdrop? The Basic Skiing Course in Gulmarg is the best option to get introduced to the sport of skiing and spend a wonderful winter in the Kashmir Himalayas. Best suited for beginners with zero to very little exposure to skiing/snowboarding. This course builds the foundation in skiing/snowboarding by imparting the basic skills required to negotiate easy to intermediate slopes. Orienting and finding the balance to taking short and long parallel turns will come easy to you after this course. This is not any regular ski course. It is conducted by some of the most highly experienced and esteemed professionals of Skiing. Participants in our ski courses will be provided with a Certificate of Participation, Graduation and merit certificate with grades A/B/C to those who complete all lessons and pass the tests as well as a Certificate from J&K tourism. Stay on this page for more information on the Basic Skiing Course in Gulmarg. 
                    
",Basic Skiing Course - Gulmarg,"Jan,Feb",Moderate
52,Advance Skiing Course - Gulmarg,Kashmir,10,6,0 KM,4300 mts.,38000,Gulmarg to Gulmarg (Without Stay & Meals),"
Brief Description 

                        A world without friction - skiing, one of the most graceful sports on the planet right now. If you want to test your limits or if it's adrenaline rush you are seeking, it’s the sport to pursue. Gulmarg has quickly become a popular destination for skiers and snowboarders around the world - from absolute beginners to experts - you'll find them all here in winter. Nestled amongst the beautiful mountains of Kashmir, Gulmarg boasts of one of the highest ski lifts in the world and the best slopes in the country. Have you ever pictured yourself speeding down vast snow slopes with the gigantic Himalayan mountains in the backdrop? The Basic Skiing Course in Gulmarg is the best option to get introduced to the sport of skiing and spend a wonderful winter in the Kashmir Himalayas. Getting your skiing to the next level is our goal with this program. It is best suited for people who already have basic skills in skiing and are comfortable with slightly higher slope gradients and now are looking at getting to the higher powder bowls of the mountain. The focus of this course is will be to teach you off-piste skiing and to make you comfortable in back-country skiing. We will dedicate most of our time exploring un-groomed powder slopes and backcountry slopes and will also test your skills to the limit by taking you to some challenging yet safe lines in the bowls. Gulmarg has huge potential for deep Himalayan powder skiing in its almost 1350 meters of skiable terrain. Gulmarg Gondola- one of the highest ski lifts in the world, drops you off at almost 4000 m exposing the labyrinth of some amazing skiable off-piste slopes and back-country opportunities. It has something to offer for people of all skill levels. Participants in our ski courses will be provided with a Certificate of Participation, Graduation and merit certificate with grades A/B/C to those who complete all lessons and pass the tests as well as a Certificate from J&K tourism. Stay on this page for more information on the Advance Skiing Course in Gulmarg.
                    
",Advance Skiing Course - Gulmarg,"Jan,Feb",Difficult
53,Intermediate Skiing Course - Gulmarg,Kashmir,10,6,0 KM,4000 mts.,37000,Gulmarg to Gulmarg (Without Stay & Meals),"
Brief Description 

                        A world without friction - skiing, one of the most graceful sports on the planet right now. If you want to test your limits or if it's adrenaline rush you are seeking, it’s the sport to pursue. Gulmarg has quickly become a popular destination for skiers and snowboarders around the world - from absolute beginners to experts - you'll find them all here in winter. Nestled amongst the beautiful mountains of Kashmir, Gulmarg boasts of one of the highest ski lifts in the world and the best slopes in the country. Have you ever pictured yourself speeding down vast snow slopes with the gigantic Himalayan mountains in the backdrop? The Basic Skiing Course in Gulmarg is the best option to get introduced to the sport of skiing and spend a wonderful winter in the Kashmir Himalayas. Getting your skiing to the next level is our goal with this program. It is best suited for people who already have basic skills in skiing and are comfortable with slightly higher slope gradients and now are looking at getting to the higher powder bowls of the mountain. The intermediate course in Skiing will teach you all the steps necessary to acquire an advanced certificate in skiing. The participants will learn about skills like carving, edging, short and long parallel turns, rotation, edging and cover Core Competencies in more detail. Participants in our ski courses will be provided with a Certificate of Participation, Graduation and merit certificate with grades A/B/C to those who complete all lessons and pass the tests as well as a Certificate from J&K tourism. Stay on this page for more information on the Intermediate Skiing Course in Gulmarg.
                    
",Intermediate Skiing Course - Gulmarg,"Jan,Feb",Difficult
54,Warwan Valley Trek,Kashmir,9,5,95 KM,4410 mts.,38000,Panikhar to Pahalgam,"
Brief Description 

                        The Warwan Valley Trek is a Himalayan Crossover Trek from the Suru Valley in Ladakh to the Kashmir Valley. Considered as one of the eight ancient trans-Himalayan traverses, the Warwan valley was used by locals for trading reasons. Being one of the most thrilling treks in Kashmir, the Warwan Valley Trek takes you through the untouched and unexplored Warwan Valley which is often regarded as the captivating lost world where the locals of the valley are the closest to the actual Kashmiris. From the barren landscape of Zanksar to the verdant meadows of Kashmir, the Warwan Valley Trek will take you across out-of-the-world beauty, straight through the heart of Kashmir. From luxuriant meadows, rocky moraines, lengthy glaciers, chilling stream crossings to a thrilling pass, the Warwan Valley trek is meant for all nature enthusiasts and adventure seekers. Though this is a moderate grade trek, it can be done by first-timers as well but only with proper preparation since this trek involves long walks each day over a varying landscape and a narrow strenuous trail. The Warwan valley, sandwiched between Ladakh and Kashmir, has been able to keep itself hidden and unknown even to the locals of Kashmir. Traversing this supreme trail will be a once in a lifetime opportunity to those who wish to venture into the unknown yet divinely beautiful Himalayan landscapes. Stay on this page for more information on the Warwan Valley Trek - Itinerary, FAQs, Route, Temperature and Precipitation charts.
                    
",Warwan Valley Trek,"Jul,Jul,Aug,Sep",Difficult
